,Delta t (mcs),Delta r (mm)
101,727.8800048828125,567.9320757964956
102,316.260009765625,682.6290367210494
103,438.1399841308594,733.026518661571
104,495.219970703125,293.434954795934
105,124.97998046875,291.7816489056733
106,644.1400146484375,702.6083188278295
107,252.6199951171875,429.95287723304426
108,131.01998901367188,824.8671635665803
109,194.02001953125,364.39018992935416
110,617.7599792480469,354.3709397391649
111,445.9599914550781,46.71872188841022
112,200.04000854492188,1095.9286337690614
113,107.92001342773438,429.32999944853054
114,75.6199951171875,448.14939179239565
115,327.6399841308594,601.0652369522497
116,154.3599853515625,541.4416601061084
117,78.69998168945312,132.06133970645908
118,207.47998046875,191.9135140575583
119,40.920013427734375,333.34134536622196
120,19.94000244140625,381.28688475102
121,1006.0,675.7338400261061
122,749.5,238.70634581841324
123,364.82000732421875,394.3932810998437
124,380.6600036621094,196.42049815764688
125,200.16000366210938,481.89469710584393
126,12.660003662109375,190.2608855057346
127,11.800018310546875,377.06863778502253
128,37.82000732421875,1209.7902879921737
129,336.32000732421875,485.1311053085642
130,137.03997802734375,1136.3848222513852
131,38.180023193359375,260.2166856169826
132,105.05999755859375,557.3310905458417
133,164.260009765625,1375.4776720675611
134,304.6400146484375,416.5047767533558
135,65.8599853515625,430.3440206632261
136,318.260009765625,1679.6282447932188
137,194.72000122070312,267.4521800508836
138,41.839996337890625,474.7489341797448
139,370.02001953125,267.9864159240205
140,53.70001220703125,119.17947599379114
141,644.9400024414062,703.6900128849138
142,30.660003662109375,591.8413996222666
143,197.82000732421875,467.2663795176972
144,809.0799865722656,1037.514621132152
145,10.160003662109375,555.8780885212102
146,152.98001098632812,519.0535695112189
147,123.17999267578125,791.7021769224119
148,65.8800048828125,100.0907584290455
149,29.699981689453125,619.6422068050038
150,286.08001708984375,581.7092063651094
151,250.82000732421875,58.26222263518554
152,95.47998046875,349.0442954930185
153,27.760009765625,262.49958415793225
154,285.79998779296875,1139.8119409224664
155,473.2599792480469,179.04135673865062
156,21.639984130859375,185.61773525919907
157,12.6400146484375,428.6262732657731
158,150.10000610351562,448.2245737518089
159,111.5,356.4938521438182
160,81.24002075195312,983.5054058878409
161,92.760009765625,1340.0707550197285
162,424.6600036621094,315.7084232022624
163,328.2200012207031,356.8456400338624
164,22.760009765625,400.0800179696591
165,15.660003662109375,151.8394634424918
166,42.58001708984375,921.1708291525802
167,148.97998046875,318.739932579353
168,216.239990234375,298.3293016449834
169,82.17999267578125,571.6810817214599
170,21.8599853515625,914.5904032330913
171,690.97998046875,1107.0577088674627
172,37.08001708984375,467.7484320737166
173,56.02001953125,334.22385193724057
174,7.199981689453125,662.5135180419121
175,117.1199951171875,475.6185430815337
176,430.0400085449219,313.5941215707044
177,207.0,214.84222037519913
178,110.89999389648438,319.583853473891
179,525.47998046875,339.94648114566075
180,71.6199951171875,614.2452100592544
181,102.32000732421875,475.3896629305581
182,534.260009765625,373.33999508149446
183,30.959991455078125,407.37050194671565
184,311.03997802734375,175.29706679759008
185,428.0199890136719,129.49267201623562
186,429.4800109863281,415.1535184713344
187,31.760009765625,201.39392837199483
