,Prompt Energy (MeV),Delayed Energy (MeV)
102,1.5363921128503153,2.1643082378272336
103,2.037144573667112,2.2271454617960553
104,4.432139632656524,2.105193606925762
105,2.047177083822738,2.24882530128723
106,2.0315466839714484,1.933255281278095
107,1.321186733454745,2.1746736631131127
108,1.1916506473152577,2.1298004140332245
109,1.7187300207097524,2.138793021245877
110,2.9931398153667867,2.0538195445459166
111,1.1823882568152106,2.0122164138576495
112,1.0940637552646315,2.1511964793417166
113,2.2506753930046552,2.157679047523884
114,1.069655845972318,2.052191143775723
115,2.8647884836948,2.102004420054695
116,2.2831369584516903,2.182791586038672
117,1.1613683325207884,2.0896624235136163
118,5.624534571043303,2.003235650085256
119,1.5654376518722055,2.0281449769316424
120,1.2949299738834368,2.116419237706124
121,1.442800847331112,2.2098940130055533
122,3.2067792096587744,2.1136352842897077
123,1.0705350378333491,2.2098700677528664
124,1.4935485535209096,2.1191689829342404
125,1.3142603897068388,2.187463841153418
126,1.0927818726252307,2.197849225623708
127,1.5672216152748477,2.0453961198571777
128,4.297218638074293,2.043954931847219
129,1.2662903923650914,2.162265516864527
130,1.5225709148397295,2.1499477215678575
131,1.526183319270843,2.11717187768629
132,1.5649668500594545,2.0357065356754536
133,1.7099631096632097,2.0820074349007767
134,1.1173937869891717,2.067440022594924
135,1.7911066847197943,2.145685370546439
136,5.940816859736382,2.0648444994744795
137,5.870866167425137,2.080716488955183
138,1.3629592047491543,2.087791881167632
139,1.4439705994360226,2.1510555444711694
140,1.7882535569429976,2.016115283428316
141,1.7517728877616934,2.079256245399493
142,1.9789714418488933,2.111548132280938
143,1.4795355378342103,2.126605919049179
144,1.3752445530470168,2.220948647246523
145,1.079208798124079,2.1202672257713227
146,5.726947255251627,2.106020666191206
147,1.2709960314943907,2.211318820324126
148,1.6261951383492184,2.155941887658023
149,2.0650268133623606,2.2448619243113206
150,1.5434961860179524,2.0102125669097206
151,1.034538949425261,2.2215992707359367
152,1.4592193191446943,2.110104906997581
153,1.5420247640532678,2.0234985645808954
154,1.1242287820739019,2.069514611457463
155,1.332623506579571,2.0507792577740855
156,5.988240215047537,2.277712724774922
157,1.3281381502195604,2.1238031679060216
158,1.0789282582407502,2.272136703349807
159,1.34355732071458,2.0511000509820914
160,1.419403015394921,2.148559173387528
161,1.4909584577064998,2.0679585735769623
162,5.594367925562694,2.0934968750967142
163,1.4802085155332645,2.1355478492257216
164,1.6034104401962048,2.1915352729781046
165,5.883125870914966,2.049069376438633
166,1.146230625245151,2.0125051198010593
167,1.5592343395409833,2.238696271274898
168,2.451972303050156,2.1727076086327
169,1.438839002781731,2.2057046316596294
170,2.101146723550294,2.1937196841689075
171,1.5457714449045772,2.313097707568595
172,1.4306835473446378,2.13058289423872
173,1.2551715159698196,2.013877858579724
174,1.1297693774728752,1.9847289977257812
175,1.5381075434046263,2.1784200371524873
176,1.7582493801333738,2.1579046195410516
177,1.448404984336398,2.051236730546523
178,1.4489825046575082,2.0125611456666124
179,1.7537090800802289,1.9829530245857028
180,5.953325141966875,2.2485553695878027
181,1.3174917363497198,2.210404766236739
182,5.773612858089908,2.016561652421705
183,1.1228985549405277,2.134359226371724
184,1.6518272863792927,1.9003035681288831
185,1.1590485349594264,2.21734562363507
186,1.891185950195233,2.041774265168999
187,4.589262021493452,2.2223881191821233
188,5.9660939079374655,2.3187244954542963
189,1.514675227992085,2.101736957854143
190,5.833942761990964,2.3162077864529143
191,1.256461345145192,2.133729955200133
192,1.5377946596226522,2.0906748330827014
193,1.0367689971965546,1.9292628629922115
194,1.1179148243909545,2.0680640828872523
195,1.0995171715462113,2.0267571328080147
196,1.566811694849319,2.0377110734904065
197,1.2368811103929815,2.0443992660971406
198,1.8255363165262417,2.3334532087002113
199,1.9121616740794898,2.104937659002849
200,1.246247599234747,2.123022057046153
201,1.2957390888385139,2.08375775254334
202,5.6973896161225275,2.2290649897563823
203,1.989539612427213,2.2892611691702505
204,1.3705526705729518,2.170714802667588
