,Dt (mcs),Dr (mm)
126,25.600006103515625,312.86302728032877
127,48.300018310546875,207.0366786687338
128,178.8599853515625,229.62621915081877
129,314.8800048828125,171.69447357785816
130,428.5400085449219,423.554054668922
131,309.3999938964844,426.96088511893197
132,90.72000122070312,363.3155463729323
133,788.5599975585938,387.75431365428994
134,202.41998291015625,236.40483736653385
135,600.8399963378906,263.1242947223526
136,31.519989013671875,420.21189948574244
137,72.8800048828125,130.3973776151054
138,93.22000122070312,665.855275270129
139,309.6400146484375,134.15204662409724
140,14.0,234.08131489341338
141,96.20001220703125,508.0617395684111
142,214.94000244140625,331.1108560962394
143,800.9599914550781,625.4581672328417
144,151.3599853515625,499.0683908875077
145,238.20001220703125,456.10073170181425
146,188.70001220703125,1060.9243033381006
147,173.98001098632812,302.19887228401365
148,601.5400085449219,841.0274219485284
149,198.9000244140625,538.8602472390749
150,33.6400146484375,368.609786163126
151,310.6000061035156,730.7177405579625
152,38.08001708984375,585.9194113342062
153,480.6999816894531,871.1911945002918
154,442.97998046875,594.933505648127
155,48.680023193359375,737.406711101994
156,49.44000244140625,672.2513233260478
157,87.10000610351562,732.6543892017164
158,308.5400085449219,628.1675915722076
159,83.29998779296875,704.5292562571299
160,180.39999389648438,305.6038977101775
161,118.45999145507812,616.6859823788251
162,479.3999938964844,168.18237048953407
163,134.69998168945312,567.0943704502969
164,53.480010986328125,402.6917000132876
165,67.16000366210938,850.0996051933827
166,441.1199951171875,179.43710068692636
167,100.44000244140625,263.2408224012206
168,20.3599853515625,335.02851326165535
169,134.760009765625,234.34862967150636
170,21.0,420.0184692904564
171,155.03997802734375,535.1952493599385
172,33.41998291015625,390.1228656338365
173,205.260009765625,581.8774252760273
174,208.31997680664062,271.979868403632
175,135.3599853515625,356.59720807368626
176,166.32000732421875,349.72565691633747
177,501.08001708984375,167.91590265964186
178,53.980010986328125,435.3290284799162
179,219.72000122070312,384.78496350745905
180,29.519989013671875,350.22826992928225
181,238.57998657226562,593.5563550309082
182,197.66000366210938,719.7615480252024
183,307.97998046875,398.3705434285563
184,21.79998779296875,436.6322798610087
185,38.079986572265625,681.3470630074607
186,312.94000244140625,596.7236567181521
187,106.46002197265625,271.49122328791594
188,28.160003662109375,340.3484486222595
189,3.94000244140625,536.2083577173174
190,229.29998779296875,951.2715539150275
191,6.1400146484375,489.3516825352384
192,23.1199951171875,538.4985345960229
193,243.92001342773438,606.1355872627576
194,312.7200012207031,400.3606300103119
195,352.260009765625,575.8790255114649
196,54.040008544921875,262.5837801402913
197,571.0599975585938,261.84396553850144
198,169.10000610351562,501.47680309062685
199,560.0799865722656,129.9099563857243
200,50.1199951171875,361.876609887161
201,113.60000610351562,1192.273059336369
202,107.47998046875,515.3477662899078
203,141.92001342773438,381.1746668402203
204,5.02001953125,356.29045777555285
205,42.6199951171875,1284.9020492746713
206,139.8800048828125,680.85108555806
207,19.660003662109375,349.76494030490284
208,52.44000244140625,253.5082535941638
209,78.1400146484375,505.6190821600792
210,181.0,409.09872611133534
211,408.2799987792969,243.8380454315661
212,113.22000122070312,644.5515331027218
213,281.1399841308594,245.0715155832059
214,571.2200012207031,863.9825416766646
215,69.95999145507812,113.13236410160091
216,57.55999755859375,389.63587360504494
217,6.779998779296875,359.032036832671
218,140.0,195.2191743395841
219,56.29998779296875,169.74898762539974
220,44.579986572265625,52.71137020671635
221,5.339996337890625,357.9442566905341
222,14.52001953125,91.64315766837277
223,407.7799987792969,401.88022912294014
224,87.08001708984375,1089.5829408122513
225,227.47998046875,315.83675880314115
226,132.44000244140625,580.5583874540508
227,122.239990234375,458.1713818434698
228,143.63998413085938,479.8929035897571
229,559.1999816894531,471.79463659202594
230,76.45999145507812,1219.15735969353
231,61.639984130859375,313.6846250816354
232,58.220001220703125,600.7815867681669
233,141.27999877929688,680.9245228944925
234,828.2799987792969,231.9236942058789
235,164.75997924804688,270.34625550209813
236,138.32000732421875,183.3078081849617
237,96.13998413085938,544.7677699799954
238,33.29998779296875,283.41076182996085
239,153.16000366210938,472.44369517076285
240,73.41998291015625,508.207430791669
